id,document,tag,content
105,0419_Yale,requirement-level,Requiring Students to be Vaccinated Against COVID-19
105,0419_Yale,requirement-who,Requiring Students to be Vaccinated Against COVID-19
89,0419_Yale,expertise,Realization of these plans will depend on favorable public health conditions and the guidance of public health experts.
88,0419_Yale,evidence,"Although the course of the COVID-19 pandemic over the coming months remains uncertain, vaccination is the strongest tool for preventing transmission of the virus. There is abundant evidence of the vaccines’ effectiveness and growing confidence that vaccines will be widely available by early summer."
102,0419_Yale,requirement-level,"Therefore, we are requiring all undergraduate, graduate, and professional school students who plan to be on campus to be fully vaccinated against COVID-19 at the start of the fall 2021 semester."
102,0419_Yale,requirement-who,"Therefore, we are requiring all undergraduate, graduate, and professional school students who plan to be on campus to be fully vaccinated against COVID-19 at the start of the fall 2021 semester."
84,0419_Yale,exemption,We also will make reasonable accommodations for medical and religious exemptions from vaccination.
85,0419_Yale,requirement-level,We are considering whether we also will require faculty and staff to be vaccinated in order to return to campus.
85,0419_Yale,requirement-who,We are considering whether we also will require faculty and staff to be vaccinated in order to return to campus.
90,0419_Yale,expertise,"To inform our deliberations, we have asked a working group, including faculty experts in public health, to make recommendations. We expect to receive the group’s report in the coming weeks and make a determination in June."
86,0419_Yale,community,"From the beginning of the pandemic, we have worked together as a community to develop and follow measures to promote the health and safety of our colleagues, families, and friends."
87,0419_Yale,responsibility of community members,Now we share the opportunity and the responsibility to take the next important step toward putting the pandemic behind us.
91,0428_WashU,safety,"Dear Washington University students, We are planning for the next academic year with an eye toward creating the safest possible environment on our campuses for our students, faculty, staff and visitors."
92,0428_WashU,evidence,The COVID-19 vaccine is becoming more widely available in the United States and its effectiveness in reducing the number and severity of infections is being clearly demonstrated across the country.
94,0428_WashU,community,"Vaccination against COVID-19 will play a key role in allowing us to resume our regular activities, protect our community, and prevent the spread of illness both on our campuses and in the St. Louis region, including, importantly, the patients we serve in our hospitals."
94,0428_WashU,responsibility of community members,"Vaccination against COVID-19 will play a key role in allowing us to resume our regular activities, protect our community, and prevent the spread of illness both on our campuses and in the St. Louis region, including, importantly, the patients we serve in our hospitals."
93,0428_WashU,requirement-level,"For these reasons, all Washington University students on the Danforth and Medical Campuses will be required to receive the COVID-19 vaccine."
